relative_path,experiment,table,columns,row_count,duplicate_rows,duplicate_timestamps_per_resource,timestamp_order_inversions,timestamp_start_utc,timestamp_end_utc,sampling_interval_ms,resource_ids,missing_by_column,numeric_ranges
Exp20190320/dump_20190320_1641.sql,Exp20190320,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",57401,0,0,4,2019-03-20T14:26:46.988000Z,2019-03-20T15:41:12.810000Z,"{""median_ms"":83,""p10_ms"":8,""p90_ms"":993}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":38.922779083,""max"":88.992126465},""Flow"":{""min"":0.0,""max"":7.8190813064575195},""Pressure"":{""min"":5.638073921,""max"":5.934204102}}"
Exp20190320/dump_20190320_1641.sql,Exp20190320,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190320/dump_20190320_1718.sql,Exp20190320,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190320/dump_20190320_1718.sql,Exp20190320,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",727,0,0,0,2019-03-20T14:45:33.954000Z,2019-03-20T16:14:50.888000Z,"{""median_ms"":528,""p10_ms"":4,""p90_ms"":4009}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":727,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":727,""OrderNo"":0,""StepNo"":727,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190320/dump_20190320_1718.sql,Exp20190320,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",86189,0,0,6,2019-03-20T14:26:46.988000Z,2019-03-20T16:18:08.318000Z,"{""median_ms"":82,""p10_ms"":8,""p90_ms"":993}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":38.922779083,""max"":89.35293579101562},""Flow"":{""min"":0.0,""max"":7.8190813064575195},""Pressure"":{""min"":5.616369724,""max"":5.934204102}}"
Exp20190320/dump_20190320_1718.sql,Exp20190320,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190320/dump_20190320_1718_new.sql,Exp20190320,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190320/dump_20190320_1718_new.sql,Exp20190320,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",727,0,0,0,2019-03-20T14:45:33.954000Z,2019-03-20T16:14:50.888000Z,"{""median_ms"":528,""p10_ms"":4,""p90_ms"":4009}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":727,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":727,""OrderNo"":0,""StepNo"":727,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190320/dump_20190320_1718_new.sql,Exp20190320,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",86189,0,0,6,2019-03-20T14:26:46.988000Z,2019-03-20T16:18:08.318000Z,"{""median_ms"":82,""p10_ms"":8,""p90_ms"":993}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":38.922779083,""max"":89.35293579101562},""Flow"":{""min"":0.0,""max"":7.8190813064575195},""Pressure"":{""min"":5.616369724,""max"":5.934204102}}"
Exp20190320/dump_20190320_1718_new.sql,Exp20190320,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190416/dump_20190416_1004.sql,Exp20190416,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190416/dump_20190416_1004.sql,Exp20190416,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",308,0,0,0,2019-04-16T07:27:06.400000Z,2019-04-16T07:35:23.526000Z,"{""median_ms"":504.0,""p10_ms"":4,""p90_ms"":3007}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":308,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":308,""OrderNo"":0,""StepNo"":308,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190416/dump_20190416_1004.sql,Exp20190416,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",10905,0,0,2,2019-04-16T07:23:48.384000Z,2019-04-16T07:35:36.207000Z,"{""median_ms"":74.0,""p10_ms"":9,""p90_ms"":984}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene5_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":11.023738861,""max"":90.335792542},""Flow"":{""min"":0.0,""max"":49.74663162231445},""Pressure"":{""min"":2.909863233566284,""max"":5.94769287109375}}"
Exp20190416/dump_20190416_1004.sql,Exp20190416,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190416/dump_20190416_1116.sql,Exp20190416,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
