relative_path,experiment_id,is_canonical_snapshot,table,schema_names,columns,row_count,exact_duplicate_rows,different_rows_same_resource_timestamp,timestamp_order_regressions_raw_order,timestamp_start_epoch_ms,timestamp_end_epoch_ms
Exp20190416/dump_20190416_1004.sql,Exp20190416,True,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",308,0,0,0,1555399626400.0,1555400123526.0
Exp20190416/dump_20190416_1004.sql,Exp20190416,True,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",10905,0,0,2,1555399428384.0,1555400136207.0
Exp20190416/dump_20190416_1004.sql,Exp20190416,True,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1116.sql,Exp20190416,False,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1116.sql,Exp20190416,False,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",11916,0,0,3,1555402697168.0,1555406184042.0
Exp20190416/dump_20190416_1116.sql,Exp20190416,False,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",64767,0,0,0,1555402600121.0,1555406184418.0
Exp20190416/dump_20190416_1116.sql,Exp20190416,False,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,True,tblMachineReport,"[""polimi1116""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,True,tblOperationLog,"[""polimi1116""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",11916,0,0,3,1555402697168.0,1555406184042.0
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,True,tblPowerLog,"[""polimi1116""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",64767,0,0,0,1555402600121.0,1555406184418.0
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,True,tblSensorsLog,"[""polimi1116""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1515.sql,Exp20190416,True,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1515.sql,Exp20190416,True,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",7631,0,0,1,1555417584870.0,1555420559697.0
Exp20190416/dump_20190416_1515.sql,Exp20190416,True,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",50629,0,0,1,1555417351759.0,1555420560418.0
Exp20190416/dump_20190416_1515.sql,Exp20190416,True,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1630.sql,Exp20190416,True,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1630.sql,Exp20190416,True,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",1369,0,0,0,1555421329117.0,1555424902560.0
Exp20190416/dump_20190416_1630.sql,Exp20190416,True,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",63185,0,0,6,1555421327710.0,1555425046623.0
Exp20190416/dump_20190416_1630.sql,Exp20190416,True,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1807.sql,Exp20190416,False,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1807.sql,Exp20190416,False,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",2160,0,0,3,1555425317561.0,1555430712071.0
Exp20190416/dump_20190416_1807.sql,Exp20190416,False,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",96171,0,0,7,1555425279298.0,1555430874493.0
Exp20190416/dump_20190416_1807.sql,Exp20190416,False,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1807_new.sql,Exp20190416,True,tblMachineReport,"[""polimi1807""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1807_new.sql,Exp20190416,True,tblOperationLog,"[""polimi1807""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",2160,0,0,3,1555425317561.0,1555430712071.0
Exp20190416/dump_20190416_1807_new.sql,Exp20190416,True,tblPowerLog,"[""polimi1807""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",96171,0,0,7,1555425279298.0,1555430874493.0
Exp20190416/dump_20190416_1807_new.sql,Exp20190416,True,tblSensorsLog,"[""polimi1807""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190416/dump_20190416_1844.sql,Exp20190416,True,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190416/dump_20190416_1844.sql,Exp20190416,True,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",628,0,0,0,1555431333802.0,1555433045986.0
Exp20190416/dump_20190416_1844.sql,Exp20190416,True,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",30216,0,0,4,1555431331257.0,1555433087452.0
Exp20190416/dump_20190416_1844.sql,Exp20190416,True,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190514/dump_20190514_1122_new.sql,Exp20190514,True,tblMachineReport,"[""polimi1122""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190514/dump_20190514_1122_new.sql,Exp20190514,True,tblOperationLog,"[""polimi1122""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",1969,0,0,0,1557819378338.0,1557825608778.0
Exp20190514/dump_20190514_1122_new.sql,Exp20190514,True,tblPowerLog,"[""polimi1122""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",86064,0,0,3,1557818920553.0,1557825758540.0
Exp20190514/dump_20190514_1122_new.sql,Exp20190514,True,tblSensorsLog,"[""polimi1122""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
