relative_path,experiment_id,name,extension,size_bytes,sha256,source_type,pipeline_role
Exp20190514/query_20190514_1302_lim.txt,Exp20190514,query_20190514_1302_lim.txt,.txt,1245904,6a1b19d52df0334253dce737975648312cef9853ba77d575e05c58ee3af8b66a,sparse_query_export,validation_only
Exp20190617/Produzioneconcinquepezzidiseguito.png,Exp20190617,Produzioneconcinquepezzidiseguito.png,.png,193929,657c8808a56659faba47e78a4c6cb6a0de6f6af55413deb556369ecf3b1c053a,screenshot,documentation_only
Exp20190617/Produzioneconquattropezzidiseguito.png,Exp20190617,Produzioneconquattropezzidiseguito.png,.png,144863,0bb8099ee23ece51b44c9315f706f81a19f4f82fcb4f1192b5eebc1ff480d1f5,screenshot,documentation_only
Exp20190617/Produzionecontrepezzidiseguito.png,Exp20190617,Produzionecontrepezzidiseguito.png,.png,183290,071fdd077977644bf6aef8b360e3ff752f6349bd1e52e5cc80c8427b9deb79d9,screenshot,documentation_only
Exp20190617/dump_20190617_1130.sql,Exp20190617,dump_20190617_1130.sql,.sql,5888278,3e6f909e00c5df5f61f33c31030f3be46350df101e2a95a2e669612ab9316b6c,primary_sql_snapshot,canonical_candidate
Exp20190617/dump_20190617_1209.sql,Exp20190617,dump_20190617_1209.sql,.sql,8360961,f63c61629f19148539d84442d9a36c40d14991b01aa73b7609d9d50952ba93a2,primary_sql_snapshot,canonical_candidate
Exp20190617/dump_20190617_1209_new.sql,Exp20190617,dump_20190617_1209_new.sql,.sql,8361085,4d4ad161b547c9c7b9af12b837ba6b7bbde75dd27e1ad74789b9465b16d42cd4,primary_sql_snapshot,canonical_candidate
Exp20190617/dump_20190617_1429.sql,Exp20190617,dump_20190617_1429.sql,.sql,1853778,e90302cbf9f911dd23349f02c51cfe316e63159a1b42861f3ed5cfd65b47fd92,primary_sql_snapshot,canonical_candidate
Exp20190617/query_20190617_1130.txt,Exp20190617,query_20190617_1130.txt,.txt,12023436,302b18ffc76c730e41359532144e11ebd27432fa109289122fe4e5c2bab61496,sparse_query_export,validation_only
Exp20190617/query_20190617_1209.txt,Exp20190617,query_20190617_1209.txt,.txt,17060229,439fbb325b1a400b73c92402ddd411fa2ced050c4d40ae022af4db9347aa78a5,sparse_query_export,validation_only
Exp20190617/query_20190617_1429.txt,Exp20190617,query_20190617_1429.txt,.txt,3800094,5b9d3aff1aa9e7a3ad27042bc92be557e468e730b8d0dd4837c4be3992ebc752,sparse_query_export,validation_only
