canonical_row_id,experiment_id,station_id,session_id,timestamp_utc,associated_power_rows
8f32f3d5bbe4437202141963bd8bcd571d57a93c917fd667a596604b71d86c7a,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:41.770000+00:00,0
a114ab0f9714a1de942b6dc4c45e2b5b2cc0c6a23b90fc4f295c855358e3c1ed,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:41.771000+00:00,0
fd6316b493e529cdd35aa0ab52013c54f45b9cbd2e770c9af192322a1b7be7cc,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:42.254000+00:00,0
20fe992da8e048e0e941a377865f4e27c00e704dccdfc40e9b81642b9cf1e49a,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:42.265000+00:00,6
bca8b5a7e65b4535ccaa6fbce7e81e8d8f7365e9887d61cbf2f76e03a76b6a19,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:44.748000+00:00,0
849e0040dea07f018290ca77fa318a8a257ff451e474e0bc95892f611be73000,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:44.766000+00:00,0
4f82316eb08de8822ab3fd98612818ca3b72e038e9d906e42142b74d117e8caa,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:45.243000+00:00,3
4558b9cf5e89cfd0b859fbea5dc8579425a127b4ceaff846513e4db2bd6050d7,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:45.757000+00:00,3
49dd3fcda382d98494dde79442971e1c1590a0a36a674181730aaea8f1601640,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:47.252000+00:00,5
0d6725a7889120994becbf85ba88ab713a5377e3cecbf1e7bad922f357726430,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:21:48.752000+00:00,226
d63b539338ed046bb619a4c71e58ec9d1a9fab8e3221a1fb2fd2e0f493cd5ab0,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:27.242000+00:00,2
261601e2c1f1749179943887f484e5eda84c5dab6d4bcb5c3a5791ea2b9f6301,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:28.280000+00:00,3
6a9233b570487598dbe192fe0e82d4aa4c40cc26f4724441dee26c50aaf2202d,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:30.259000+00:00,0
f5612505e185e0d93a2d970823851cfbba4bca526fed26b203036ab77028bf00,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:30.271000+00:00,2
b049f9b87a7efee9f7b11a8d2d62edfd7c7f24c3bcd6b8589e6ba2621a29f05f,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:30.758000+00:00,0
6380a84edf018a0029741515ad4582052a7eb707fa34070615e43a8fd903ed7b,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:30.761000+00:00,6
05a3687ff4a3e90719b43d0447c2513a74fc1bf3b682369cfafbe3297ec997f7,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:33.780000+00:00,0
0f7b5aee6acd1ae5e6840d999d86e9c8bb108ef3b8a5743d0b7234f51558ae20,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:33.811000+00:00,4
c266f20caf19df982a7a10feb54b531cc10f892f9ef576d52e8d810b56f8481a,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:35.740000+00:00,0
018d4b2135ef8d9684c7e3114be3dcd520bbbe73514580320095398b360c5da1,Exp20190124,10,Exp20190124-S10-001,2019-01-24 09:23:35.789000+00:00,4
