experiment_id,station_id,station_name,session_id,timestamp_utc,plc_timestamp_matched,state_age_seconds,canonical_row_id,operation_row_id,canonical_source_file,plc_source_file
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:36.795000+00:00,2019-06-17 09:36:35.565000+00:00,1201.23,f7132a15b0f3822f9f19ecca24655e446244ebd8d9b048ccf53098a5f524f439,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:36.780000+00:00,2019-06-17 09:36:35.565000+00:00,1201.215,2e05f6e06434f5ab8eb00f7475ed385ff891cbcb023e6bd1330d4624c9723983,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:35.853000+00:00,2019-06-17 09:36:35.565000+00:00,1200.288,ba4b2bd7944993a2a165d5cb49d454f9fbb8b24a37e423672c7ae7cd01c7d13a,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:35.827000+00:00,2019-06-17 09:36:35.565000+00:00,1200.262,df48cf26f1c5b9f54114b4ee2779d694fd70d69ddf752e92f26a84bd675bb703,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:35.811000+00:00,2019-06-17 09:36:35.565000+00:00,1200.246,e3d99e874e1aca8cd654a5a5c81c426dd86864a3d1353e93c1f807a32172812d,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:34.857000+00:00,2019-06-17 09:36:35.565000+00:00,1199.292,ef627fbf98db44e647d595b2eebde5680668527dca03f6c2cf439403c794869a,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:34.782000+00:00,2019-06-17 09:36:35.565000+00:00,1199.217,927dd91a7a98d7dac7b6bd844e9af46a8ab960d54dc14927d4b16db046be1394,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:34.767000+00:00,2019-06-17 09:36:35.565000+00:00,1199.202,375ea5aada9d8ac5a74675c46ec9d856403395e28aa18b255aad50fe14fb44f7,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:33.836000+00:00,2019-06-17 09:36:35.565000+00:00,1198.271,bf9165ac8e2532c47ead02d6005ba5f495f6784598a558efd4cddf3e7a28b9c1,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:33.820000+00:00,2019-06-17 09:36:35.565000+00:00,1198.255,5eeb50aa961e25d1b84018ba5196041de28273907c33a7d0d37b1cbefb1c328a,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:33.787000+00:00,2019-06-17 09:36:35.565000+00:00,1198.222,a66597401d7fde73710fd3f679cef2c106bec9ad94e072600d686e03fbe2437e,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:32.870000+00:00,2019-06-17 09:36:35.565000+00:00,1197.305,585c0df2cf42d1cb4db7df9bb0d8ed391936e5612844f27ff4ea4c2177387fbf,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:32.863000+00:00,2019-06-17 09:36:35.565000+00:00,1197.298,612945bdd6db4db2d55c0a832fd6b79d0f08ec5aec2eb431bfb1258bfc5fbff0,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:32.844000+00:00,2019-06-17 09:36:35.565000+00:00,1197.279,42d812e0fb128fcb4462bd34c1843f43de42949b5202ea75b747c74aae39c225,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
Exp20190617,50,RobotAssembly,Exp20190617-S50-001,2019-06-17 09:56:31.787000+00:00,2019-06-17 09:36:35.565000+00:00,1196.222,1f5f8dd17a4b480c0065c8fc4c9a722c927c4f35a2bd482fe256489765c6cd75,843b618757940fb8d95e30d027fc94b3b926f8696effe6ee2207d951c8baa6d2,Exp20190617/dump_20190617_1209_new.sql,Exp20190617/dump_20190617_1209_new.sql
