experiment_id,station_id,session_id,station_name,power_rows,matched_power_rows,unmatched_power_rows,matched_percent,state_age_mean_seconds,state_age_min_seconds,state_age_p01_seconds,state_age_p10_seconds,state_age_p25_seconds,state_age_p50_seconds,state_age_p75_seconds,state_age_p90_seconds,state_age_p95_seconds,state_age_p99_seconds,state_age_max_seconds
Exp20190514,50,,RobotAssembly,1423,0,1423,0.0,,,,,,,,,,,
Exp20190514,60,Exp20190514-S60-001,CameraInspection,3106,3106,0,100.0,143.99696136509982,0.109,0.2621,10.788,53.298500000000004,136.60500000000002,227.35725,289.44000000000005,314.39625,343.49219999999997,355.56
Exp20190514,60,Exp20190514-S60-002,CameraInspection,7555,7555,0,100.0,140.04890311052284,0.204,0.346,13.863000000000001,57.841499999999996,131.801,207.8355,271.8804,323.8683,396.82222,418.894
Exp20190514,60,Exp20190514-S60-003,CameraInspection,11571,11571,0,100.0,147.09410837438423,0.001,0.415,14.065,57.0065,136.466,224.96300000000002,288.538,340.992,405.16039999999975,431.022
Exp20190514,60,,CameraInspection,4405,0,4405,0.0,,,,,,,,,,,
Exp20190514,70,Exp20190514-S70-001,MagazineBack,2976,2976,0,100.0,140.26259610215055,0.002,0.10149999999999999,4.1135,49.121249999999996,132.166,224.2225,285.7145,310.2645,340.20725,352.317
Exp20190514,70,Exp20190514-S70-002,MagazineBack,7220,7220,0,100.0,136.5295574792244,0.017,0.195,8.138300000000003,53.253750000000004,128.66500000000002,203.711,267.7508,321.21569999999963,392.5616399999997,414.752
Exp20190514,70,Exp20190514-S70-003,MagazineBack,11120,11120,0,100.0,144.13555701438847,0.009,0.32719000000000004,9.248800000000001,53.71025,134.83749999999998,221.30975,285.749,337.70424999999994,400.76583,426.849
Exp20190514,70,,MagazineBack,3908,0,3908,0.0,,,,,,,,,,,
Exp20190514,80,Exp20190514-S80-001,Press,3292,3292,0,100.0,141.42347600243014,0.0,0.041,4.923800000000001,50.5945,136.6135,225.65349999999998,284.7354,308.4346499999999,338.2677500000001,348.761
Exp20190514,80,Exp20190514-S80-002,Press,8416,8416,0,100.0,137.79436787072243,0.012,0.131,8.624500000000001,55.624,131.107,205.06325,268.0905,321.09425,391.64390000000003,410.66
Exp20190514,80,Exp20190514-S80-003,Press,12952,12952,0,100.0,140.68181060840027,0.071,0.24,8.298700000000006,51.79025,131.38,216.683,274.77919999999995,333.2947499999999,398.70158999999995,423.822
Exp20190514,80,,Press,4176,0,4176,0.0,,,,,,,,,,,
Exp20190617,10,Exp20190617-S10-001,Manual,15685,15685,0,100.0,127.59805176920626,0.001,0.069,2.601,30.12,101.18,194.075,292.01460000000003,373.06899999999996,488.21623999999986,571.07
Exp20190617,10,Exp20190617-S10-002,Manual,2951,2951,0,100.0,95.38703422568622,0.158,0.2365,7.704,31.179,78.242,156.723,209.226,225.719,244.4845,252.28
Exp20190617,10,,Manual,1754,0,1754,0.0,,,,,,,,,,,
Exp20190617,20,Exp20190617-S20-001,MagazineFront,13919,13919,0,100.0,201.24131704863856,0.0,0.07418000000000001,3.4316000000000013,55.036500000000004,163.44,301.919,449.1218,565.9701999999999,741.7751799999998,812.016
